timestamp_utc,episode,reward,score,episode_steps,average_reward,best_reward,epsilon,total_training_steps,q_entries
2026-04-30T04:03:14.6517279+00:00,160,25.8468,800,1456,196.9002,864.5960,0.450682,444543,17457
2026-04-30T04:03:17.9881632+00:00,161,172.9444,2900,3947,197.7508,864.5960,0.448428,448490,17474
2026-04-30T04:03:20.9488071+00:00,162,124.1622,2600,3502,197.1390,864.5960,0.446186,451992,17499
2026-04-30T04:03:22.4004698+00:00,163,47.6120,1100,1678,195.3644,864.5960,0.443955,453670,17539
2026-04-30T04:03:25.9123558+00:00,164,196.3345,3500,4146,197.8879,864.5960,0.441736,457816,17568
2026-04-30T04:03:31.1044768+00:00,165,313.8942,5100,6148,202.3217,864.5960,0.439527,463964,17590
2026-04-30T04:03:32.9426851+00:00,166,59.4742,1300,2148,200.1237,864.5960,0.437329,466112,17619
2026-04-30T04:03:35.9815087+00:00,167,151.8841,2700,3585,201.8669,864.5960,0.435143,469697,17638
2026-04-30T04:03:47.0948896+00:00,168,742.3412,11500,13281,213.4214,864.5960,0.432967,482978,17679
2026-04-30T04:03:57.1752697+00:00,169,649.7963,10500,11960,222.0709,864.5960,0.430802,494938,17759
2026-04-30T04:04:03.4434871+00:00,170,390.4887,6500,7454,227.4672,864.5960,0.428648,502392,17782
2026-04-30T04:04:10.8173715+00:00,171,443.6854,7300,8771,232.1113,864.5960,0.426505,511163,17787
2026-04-30T04:04:18.1322180+00:00,172,505.2800,7600,8719,237.0474,864.5960,0.424372,519882,17835
2026-04-30T04:04:25.7549521+00:00,173,483.5401,7500,9082,240.4452,864.5960,0.422250,528964,17884
2026-04-30T04:04:29.1832233+00:00,174,175.2078,3200,4014,242.5600,864.5960,0.420139,532978,17907
2026-04-30T04:04:37.6061943+00:00,175,539.6181,8500,10031,248.9638,864.5960,0.418038,543009,17943
2026-04-30T04:04:39.2417859+00:00,176,53.1427,1300,1910,249.2375,864.5960,0.415948,544919,17968
2026-04-30T04:04:45.2761777+00:00,177,354.4026,5700,7181,248.9346,864.5960,0.413868,552100,17985
2026-04-30T04:04:47.9032870+00:00,178,133.4938,2300,3091,248.4275,864.5960,0.411799,555191,17994
2026-04-30T04:04:51.1994596+00:00,179,187.2522,3300,3905,244.9323,864.5960,0.409740,559096,18019
2026-04-30T04:04:54.1660311+00:00,180,142.9063,2700,3499,244.7485,864.5960,0.407691,562595,18026
2026-04-30T04:04:59.9994842+00:00,181,355.2587,5900,6940,246.0342,864.5960,0.405653,569535,18077
2026-04-30T04:05:06.2129932+00:00,182,367.8931,6100,7399,251.4939,864.5960,0.403625,576934,18104
2026-04-30T04:05:23.0157890+00:00,183,1165.8721,17800,20098,269.3470,1165.8721,0.401607,597032,18151
2026-04-30T04:05:29.2756833+00:00,184,382.6208,6500,7460,272.0623,1165.8721,0.399599,604492,18184
2026-04-30T04:05:32.1354874+00:00,185,156.1351,2500,3371,274.8101,1165.8721,0.397601,607863,18186
2026-04-30T04:05:48.1080722+00:00,186,1092.0923,16700,19112,291.5054,1165.8721,0.395613,626975,18238
2026-04-30T04:05:58.6479251+00:00,187,651.9398,10800,12568,299.7737,1165.8721,0.393635,639543,18317
2026-04-30T04:06:01.5612299+00:00,188,146.1798,2500,3454,298.5019,1165.8721,0.391666,642997,18336
2026-04-30T04:06:06.1658283+00:00,189,266.8774,4300,5452,297.0918,1165.8721,0.389708,648449,18362
2026-04-30T04:06:19.2913705+00:00,190,883.2406,13700,15676,309.0842,1165.8721,0.387760,664125,18427
